year,question_id_specific,question_id_general,question_id_final,canceled,full_question,full_answer,full_answer_references,type,difficulty,difficulty_percentage,associated_image,option_1,option_2,option_3,option_4,option_5,correct_answer,Zalantzakoa,Ez da guztiz egokia
2010,46,9340,118196,FALSE,"Una mujer de 53 años presenta una estenosis mitral moderada aislada, mantiene ritmo sinusal, presenta buena capacidad funcional y sigue revisiones periódicas. En la exploración física esperaría encontrar:",Al estar en ritmo sinusal los latidos serán rítmicos. Por lo demás el hallazgo fundamental es un soplo diastólico precedido de um chasquido de apertura (respuesta 1 correcta). Los pacientes con estenosis mitral no tienen porqué estar hipertensos y no presentan soplo sistólico a no ser que presenten valvulopatía asociada.,"1. Harrison ́s,17Th Edition, Pag 255",CARDIOLOGÍA,Fácil,"0,88",,"Soplo mesodiástólico en foco mitral, posible chasquido de apertura previo y tonos cardiacos rítmicos.",Soplo mesosistólico y diastólico en borde esternal izquierdo.,"Soplo protodiastólico en foco mitral, tonos cardiacos irregulares y soplo sistólico aórtico.",Soplo protodiastólico en foco mitral e hipertensión arterial sistólica.,Soplo telesistólico mitral irradiado a axila.,1,,
2010,49,9343,118199,FALSE,"Enfermo de 60 años con cardiopatía hipertensiva grave con engrosamiento de las paredes del ventrículo izquierdo y con función sistólica normal. Había acudido a una fiesta de despedida de soltero y comió, como los demás, embutidos y mariscos. Varias horas después comenzó con disnea y ortopnea. No refería dolor torácico. Su TA estaba en torno a 150/95 mmHg como había tenido otras veces. Se auscultaron crepitantes pulmonares bilaterales. ¿Cuál es el diagnóstico más probable?",El abandono del tratamiento o las transgresiones severas en el consumo de sodio son las causas más frecuentes de descompensación de insuficiencia cardiaca. Dado que nos refiere que no presenta disfunción ventricular sistólica son síntomas por disfunción diastólica (respuesta 2 correcta). ,"1. Harrison ́s, 17Th Edition, Pag 252",CARDIOLOGÍA,Fácil,"0,67",,Crisis hipertensiva.,Insuficiencia cardiaca diastólica.,Insuficiencia cardiaca por disfunción sistólica.,Derrame pericárdico.,Tromboembolismo pulmonar.,2,,
2010,50,9344,118200,FALSE,"Paciente de 75 años de edad, ex-fumador, con índice de masa corporal de 27 kg/m2. Antecedentes familiares de HTA y DM tipo 2. Acude a urgencias refiriendo tos seca nocturna que le interrumpe el sueño desde hace una semana asociada a disnea la pasada noche. En los dos últimos meses ha experimentado disnea al subir escaleras y edemas en ambos tobillos antes de acostarse. A la exploración física presenta TA 158/99 mmHg, FC 98 Ipm, saturación capilar de oxigeno 97%, FR 16 rpm. Soplo sistólico aórtico con refuerzo del segundo ruido. Hipofonesis generalizada con aisladas sibilancias en ambos campos pulmonares. Abdomen sin hallazgos. Rx de tórax sin alteraciones. En el ECG se observan ondas R elevadas en V5 y V6 con complejo ST-T negativo. Señale entre las siguientes hipótesis diagnósticas la más probable:",Se trata de un paciente obeso y severamente hipertenso (2o ruido fuerte) que presenta disnea progresiva con un ECG en el que hay datos de hipertrofia ventricular izquierda (sin cardiomegalia en la Rx tórax). Lo primero que hay que pensar en este tipo de pacientes es que esté desarrollando una insuficiencia cardiaca izquierda de tipo diastólico por alteración de la relajación (respuesta 5 correcta).,"2. Harrison ́s, 17Th Edition, Pag 252",CARDIOLOGÍA,Fácil,"0,73",,Enfermedad pulmonar obstructiva crónica agudizada.,Cardiopatía isquémica estable.,Bronquitis aguda.,Embolia pulmonar.,Miocardiopatía hipertensiva.,5,,
2010,51,9345,118201,FALSE,"Una paciente de 38 años sin antecedentes de cardiopatía ni problemas broncopulmonares conocidos acude al servicio de Urgencias por presentar palpitaciones rápidas y regulares de comienzo brusco. La TA es de 110/80 mmHg, el pulso es regular a 195 Ipm y la saturación arterial de 02, respirando aire ambiente, es de 96%. El ECG muestra una taquicardia regular de QRS estrecho a 195 Ipm en la que no es discernible la onda P. ¿Cual sería el tratamiento de primera elección?:","Se trata de una crisis de taquicardia paroxística supraventricular (Inicio Brusco, ritmica QRS estrecho). Probablemente de tipo intranodal ya que a la vez se activa ventrículo y aurícula por lo que no es posible ver la onda P. p Reentrada intranodal El 1o abordaje es el masaje del seno carotídeo, para que la estimulación vagal afecte a las propiedades de conducción del nodo AV y se interrumpa el circuito. Si no es eficaz se utilizará adenosina (precaución con pacientes con broncoespasmo porque podría provocarlo) (respuesta 2 correcta). Esta medicación es 100% eficaz pero no evitaría que instantes después pudiera reiniciarse otra vez al ser su efecto muy fugaz. Cuando se precisa un efecto más prolongado o hay contraindicación a adenosina preferimos utilizar verapamil. ","1. Harrison ́s, 17Th Edition, Pag 250",CARDIOLOGÍA,Normal,"0,44",,Digoxina 1 mg iv en bolo.,Adenosina 6 mg iv en bolo.,Amiodarona 5 mg/kg iv en 30 minutos.,Flecainida 2 mg/kg iv en 20 minutos.,Cardioversión eléctrica con choque DC sincronizado de 200 Julios.,2,,
2010,52,9346,118202,FALSE,Acude a nuestra consulta una mujer de 35 años de edad con antecedentes de hipertensión arterial esencial desde hace 4 años. La paciente ha estado bien controlada con Enalapril 20 mg cada 12 horas. Desde hace dos meses está embarazada y es remitida por su médico de atención primaria para seguimiento. Tras el estudio pertinente decidimos hacer una serie de medidas ¿cuál es la correcta?:,Tanto los IECAS como ARA II están contraindicados en el embarazo por producir insuficiencia renal en el feto. Tanto diuréticos como betabloqueantes están relativamente contraindicados en el embarazo y se prefieren fármacos de los que este más contrastada su inocuidad en el embarazo como la alfametil dopa (respuesta 5 correcta).,"1. Harrison ́s, 17Th Edition, Pag 268",CARDIOLOGÍA,Fácil,"0,91",,Mantener el mismo tratamiento ya que está bien controlada.,Reducir la dosis del comprimido ya que posiblemente necesite menos dosis.,Cambiar a un Antagonista de los Receptores de la Angiotensina II porque producen menos tos y edemas en miembros inferiores.,Retirar la medicación hipotensora ya que la tensión está bien controlada.,Cambiar a alfametildopa.,5,,
2010,54,9348,118204,FALSE,"¿Cuál es el diagnóstico de un paciente portador de una bioprótesis en posición mitral que presenta un infarto agudo de miocardio y dos días después y de forma bresca desarrolla hipotensión, soplo pansistólico y edema agudo de pulmón?:","Tanto la insuficiencia mitral como la comunicación interventricular son causa de soplo mitral. En esta pregunta, la clave es que presenta una prótesis mitral que no se va a romper por un infarto por lo que la única alternativa razonable es la comunicación interventricular (respuesta 5 correcta). El taponamiento por rotura debuta como una hipotensión brusca pero sin edema agudo de pulmón, ya que se colapsa el ventrículo derecho y produce en su grado extremo la disociación electromecánica.","1. Harrison ́s, 17Th Edition, Pag 267",CARDIOLOGÍA,Difícil,"0,31",,Insuficiencia mitral postinfarto.,Taponamiento cardiaco.,Aneurisma ventricular.,Miocardiopatía postinfarto.,Comunicación interventricular postinfarto.,5,,
2010,55,9349,118205,FALSE,"Paciente de 59 años con antecedentes de hipertensión arterial de unos 10 años de evolución y tabaquismo. Su padre falleció súbitamente a los 62 años. Acude al Servicio de Urgencias refiriendo dolor torácico muy intenso de inicio brusco unas 4 horas antes que se ha desplazado a la región interescapular. En la exploración presenta palidez, sudoración profusa, TA 190/104 mmHg, FC 108 Ipm y pulsos radiales muy diminuidos; se ausculta soplo diastólico en borde esternal izquierdo. El ECG revela taquicardia sinusal con aumento del voltaje del QRS en varias derivaciones y descenso del ST y T negativa asimétrica en I aVL y de V4 a V6. ¿Cuál es el diagnóstico más probable?:","En un varón de edad media hipertenso, ante una clínica de dolor agudo intenso desgarrante que se desplaza y que se acompaña de afectación neurológica o de alteraciones en pulsos periféricos siempre debemos de sospechar en primer lugar que el paciente esté sufriendo una disección aguda de la aorta (respuesta 4 correcta). Una pericarditis aguda y un síndrome coronario agudo se acompañan de una elevación del ST (respuestas 1 y 2 incorrectas). El tromboembolismo pulmonar y el vasoespasmo coronario no se acompañan de clínica compatible con el cuadro clínico que nos presentan (respuestas 3 y 5 incorrectas).","1. FARRERAS, 16a edic., Pág. 680 2. HARRISON, 17a edic., tema 242",VASCULAR,Fácil,"0,83",,Síndrome coronario agudo,Miopericarditís aguda,Tromboembolismo pulmonar,Disección aórtica aguda,Vasoespasmo coronario,4,,
2010,60,9354,118210,FALSE,"Una mujer de 58 años ingresa en la Unidad de Corta Estancia Médica por un cuadro clínico que comenzó con un episodio de síncope y a continuación presentó sensación de mareo y disnea. En la exploración física se encuentra sudorosa, afebril a 126 lpm y a 30 rpm, con una presión arterial de 88/46 mmHg y una saturación de oxígeno del 85% mientras respira aire ambiente. La auscultación cardíaca muestra taquicardia sin soplos ni galope y la auscultación pulmonar es normal. Los análisis de sangre rutinarios y la Rx de tórax no muestran alteraciones. ¿Cuál de las siguientes pruebas diagnósticas considera que es más recomendable en este caso?:","Ante un paciente con disnea, taquicardia, taquipnea, hipotensión, desaturación, síncope y con auscultación y Rx de tórax normales, existe una alta sospecha clínica de tromboembolismo pulmonar (TEP), probablemente masivo. Según el protocolo actual, ante una alta sospecha clínica de TEP no se debe solicitar la determinación de D-dímeros (respuesta 2 incorrecta), sino que se debe recurrir directamente a las pruebas de imagen. Al no tener insuficiencia renal ni alergia al contraste, la prueba diagnóstica de elección será el angio-TAC torácico (respuesta 5 correcta), que tiene más rentabilidad diagnóstica (más sensibilidad y especificidad) que la gammagrafía de ventilación / perfusión (opción 3 incorrecta), la cual queda relegada para los casos con contraindicación de angio-TAC. El TAC craneal no aporta ningún dato de interés ya que la patología del paciente está confinada en el tórax (respuesta 4 incorrecta). La colocación de una sonda nasogástrica y determinación del hematocrito no tienen rentabilidad diagnóstica ni terapéutica ante un tromboembolismo pulmonar (respuesta 1 incorrecta). Angio-TC pulmonar: trombo (flecha) en la arteria interlobar de la pulmonar izda. Ao: aorta ascendente; TP: tronco pulmonar; PI: art. pulmonar izda.","1. HARRISON, 17a ed., Pág. 1652 - 1654.",NEUMOLOGÍA,Normal,"0,47",,Colocación de sonda nasogástrica y determinación de hematocrito.,"Electrocardiograma y determinación de Dímeros- D, troponina y BNP.",Gammagrafía de ventilación/perfusión.,TAC craneal.,Angio-TC torácico.,5,,
2010,77,9371,118227,FALSE,Chico de 15 años que presenta dolor intenso en pierna derecha mientras descendía por una escalera. Se realiza una radiografía que muestra una fractura en peroné derecho. En la historia clínica realizada destaca la presencia de fracturas previas en ausencia de traumatismo intenso. La exploración física es normal. El estudio de metabolismo fosfocálcico realizado no muestra alteraciones. La densitometría presenta los siguientes datos T-score en columna lumbar -1.2 y T-score en cadera total -0.8. El diagnóstico más probable es:,"Las personas con osteogénesis imperfecta (OI) tienen huesos débiles, lo cual las hace susceptibles a sufrir fracturas. La fragilidad ósea puede ser tan intensa que limite la actividad diaria. Las fracturas se producen por traumatismos mínimos (respuesta 4 correcta). Los pacientes con síndrome de Marfan presentan aracnodactilia y dolicostenomelia, cifoescoliosis y laxitud articular (respuesta 2 incorrecta). El síndrome de Ehlers-Danlos incluye varios trastornos hereditarios del tejido conectivo que asocian laxitud articular y alteraciones cutáneas (piel con delgadez extrema o apariencia de gamuza mojada) (respuesta 5 incorrecta). Las manifestaciones clásicas de la osteomalacia incluyen dolor óseo difuso en pelvis, raquis y parrilla costal, además de dolor muscular y debilidad (respuesta 3 incorrecta). En la osteoporosis idiopática del varón aparecen múltiples fracturas, de las cuales las más frecuentes son las vertebrales (respuesta 1 incorrecta).","1. Farreras , 15a edic., Pág 1075",ENDOCRINOLOGÍA,Fácil,"0,69",,Osteoporosis idiopática del varón.,Síndrome de Marfan.,Osteomalacia.,Osteogénesis imperfecta.,Síndrome de Ehlers-Danlos.,4,,
2010,78,9372,118228,FALSE,"Ante un paciente con una cirugía abdominal urgente usted tiene su informe (de quirófano en el cual nos señalan que se ha realizado una resección de todo el duodeno y del tercio proximal del yeyuno manteniendo íntegros el estómago y todo el íleon así como los dos tercios distales del yeyuno. En el seguimiento nutrícional del paciente, ¿qué vitamina o mineral presentará con menos probabilidad una disminución de su absorción y por tanto no produciría manifestaciones clínicas secundarias a su déficit?:","Después de la gastrectomía parcial se puede observar descenso de los valores séricos de vitamina B12. La malabsorción de vitamina D y calcio es frecuente después de gastrectomía parcial y gastroyeyunostomía. La anemia ferropénica puede ser una consecuencia del trastorno de la absorción del hierro en los pacientes con gastroyeyunostomía de Billroth II (respuesta 3 incorrecta). Calcio, hierro, magnesio y ácido fólico se absorben exclusivamente por procesos de trasporte activo en el intestino delgado proximal, especialmente en el duodeno (respuestas 2, 4 y 5 incorrectas); por el contrario, los mecanismos de trasporte activo para la absorción de cobalamina y ácidos biliares están presentes sólo en el ileon (respuesta 1 correcta).","1. HARRISON, 17a edic., Pág 1877",ENDOCRINOLOGÍA,Fácil,"0,92",,Vitamina B12.,Calcio.,Hierro.,Magnesio.,Acido fólico.,1,,
2010,79,9373,118229,FALSE,"Un paciente de 65 años, que como únicos antecedentes médicos padece hipertensión arterial y es exfumador desde hace 10 años, acude a revisión. Se encuentra asintomático y su exploración es normal, índice de masa corporal 28 Kg/m2 y presenta con medicación hipotensora TA 130/80 mmHg. Sus valores analíticos básales son: glucemia 120 mg/dl, HbAlc 7.4%, LDLc 135mg/dl, HDLc 40 mg/dl. Considera respecto al tratamiento de los niveles de lípidos que:","El paciente según ATP III tiene los siguientes factores de riesgo: 1. Hipertenso (aunque controlado con medicación) 2. Edad mayor de 45 años Tiene dos factores de riesgo (respuesta 1 y 2 incorrectas) pero ausencia de cardiopatía coronaria, con lo cual, el tratamiento farmacológico estaría indicado con LDLc≥160 (respuestas 4 y 5 incorrectas). Para el diagnóstico de DM; sería necesario, en este caso, donde la glucemia está por encima de 110 y es menor de 126, realizar la prueba de sobrecarga oral de glucosa para confirmar DM, falso positivo o intolerante a HC. Por lo tanto de inicio no es diabético y el valor de LDLc (135mg/dl) permite realizar medidas higiénico-dietéticas (respuesta 3 correcta). Hb glicosilada ≥ 6.5 (nuevo criterio de DM para ADA 2010). DM es enfermedad cardiovascular, que junto con los factores de riesgo del paciente, necesitaría tratamiento hipolipemiante (LDLc 135 mg/dl). Directrices de tratamiento del colesterol LDL (National Cholesterol Education Program ATPII) Niveles de LDL para iniciar tratamiento (mg/dL) Dieta Fármacos Objetivo Ausencia de CPC y < de 2 factores de riesgo ≥ 160 ≥ 190 < 160 Ausencia de CPC pero 2 o más factores de riesgo ≥ 130 ≥ 160 < 130 Presencia de CPC Diabetes > 100 ≥ 130 < 100 CPC= cardiopatía coronaria Factores de riesgo positivos: Historia familiar de CPC precoz (< 55 años en un progenitor o hermano varón y < 65 años en las parientes mujeres). Hipertensión (incluso controlada con medicación). Consumo > de 10 cigarrillos/día. Diabetes mellitus (actualmente se considera que los enfermos con diabetes se encuentran en la misma categoría de riesgo que aquellos que tienen presencia de enfermedad aterosclerótica). Niveles bajos de HDL (< 35 mg/dL). Edad (> 45 años en varones, > 55 años en mujeres o mujeres menores con menopausia precoz sin tratamiento estrogénico de sustitución). Factor de riesgo negativo = colesterol HDL > 60 mg/dL.","1. DIABETES CARE, VOLUME 32, NUMBER 7, JULY 2009 2. Farreras 15a edic., Pág 1932 3. Harrison 17a edic., Pág 2427",ENDOCRINOLOGÍA,Normal,"0,59",,Por tener menos de dos factores de riesgo no precisa tratamiento hipolipemiante.,"Por ser prevención primaria y tener menos de dos factores de riesgo, no requiere tratamiento farmacológico hasta que alcance valores de LDLc > 190 mg/dl.",Debería estudiarse si cumple criterios de diabetes mellitus tipo 2. Mientras tanto sólo precisa modificación de los cambios de vida y no tratamiento hipolipemiante.,"Por padecer una diabetes mellitus tipo 2 y tener tres factores de riesgo, precisa tratamiento hipolipemiante.","Por tener tres factores de riesgo, aunque pueda padecer o no diabetes mellitus tipo 2 precisa tratamiento hipolipemiante.",3,,
2010,81,9375,118231,FALSE,"Un paciente de 74 años de edad es diagnosticado de leucemia linfática crónica B estadio HB de RAI-BINNET. Tras recibir 6 ciclos de fluradabina, presenta astenia importante y palidez de la piel y mucosas. En la analítica destaca: leucocitos 5600/uL con fórmula normal, hemoglobina 3 gr/dl y plaquetas 250000/uL. Reticulocitos 0%. Niveles normales de LDH y test de Coombs directo negativo. El diagnóstico más probable es:","La paciente presenta una anemia aislada post- tratamiento antitumoral, sin datos de hemólisis (LDH normal, niveles de reticulocitos no elevados,) ni fenómenos inmunes asociados (test de coombs negativo) (respuesta 2 incorrecta). Con un número de leucocitos normales, así como su fórmula, difícilmente podemos pensar ni en una progresión a una leucemia prolinfocítica ni a un linfoma – síndrome de Richter- (respuesta 1 y 3 incorrectas). Por todo ello debemos de pensar en una aplasia pura de células rojas secundaria al uso de fludarabina (respuesta 4 correcta).","1. FARRERAS, 16a edic., Pág. 1693 2. HARRISON, 17a edic., Pág 668",HEMATOLOGÍA,Fácil,"0,67",,Progresión de la enfermedad a leucemia prolinfocítica B.,Anemia hemolítica autoinmune.,Síndrome de Richter.,Aplasia pura de células rojas.,Síndrome de lisis tumoral.,4,,
2010,84,9378,118234,FALSE,"Paciente con los siguientes parámetros en sangre periférica: Hb 10 5 gr/dl, leucocitos 11.000/ul con 40% segmentados, 10% cayados, 5% metamielocitos, 4% mielocitos, 1% eosinófilos y 1% basófilos. Normoblastos 5%. Plaquetas 300.000/ul. Morfología de serie roja en sangre: aniso-poiquilocitosis y dacriocitos. En la exploración se palpa esplenomegalia de 12 cm bajo reborde costal. ¿Qué diagnóstico, entre los siguientes, le sugieren estos datos?:","La analítica de este paciente muestra una moderada leucocitosis asociada a anemia y número de plaquetas normales. En sangre periférica aparece mielemia, o granulocitos en diferente grado de maduración (promielocitos, mielocitos, metamielocitos...). La aparición de normoblastos (células inmaduras) y células extrañas en sangre periférica (dacriocitos) asociada a la mielemia nos orientan a la denominada morfología leucoeritroblástica, que suele aparecer en fibrosis medular importante, secundaria a ocupación medular. Todo ello concuerda con una mieloptisis, como ocurre en la Mielofibrosis Primaria (respuesta 3 correcta). Esta enfermedad se acompaña de importante esplenomegalia: otro dato clínico importante en esta enfermedad así como en el resto de los síndromes mieloproliferativos crónicos.","1. FARRERAS, 16a edic., Pág. 1819 2. HARRISON, 17a edic., Pág 674",HEMATOLOGÍA,Normal,"0,53",,Leucemia Mieloide Aguda tipo M6 (Eritroleucemia).,Trombocitemia Esencial.,Mielofibrosis Primaria.,Leucemia linfoblástica aguda.,Leucemia mielomonocítica crónica.,3,,
2010,85,9379,118235,FALSE,"Un paciente de 69 años acude al servicio de urgencias por debilidad, fatiga y epistaxis de repetición. El hemograma muestra anemia (hemoglobina 8,5 g/dl), leucopenia (leucocitos 1200/mm3) y trombopenia (plaquetas 35000/mm3). ¿Cuál es el diagnóstico MENOS probable?:","Estamos ante una pregunta difícil, ya que nos preguntan dónde es menos probable (pero no imposible) encontrar una pancitopenia. La aplasia medular y la mielofibrosis cursan con pancitopenia por definición, mayor cuanto más evolucionada está la enfermedad (opciones 1 y 5 incorrectas). Igualmente suele ocurrir en los síndromes mielodisplásicos, más aún cuando se transforman ya en auténticas leucemias agudas (respuesta 2 incorrecta). Las leucemias en general, son enfermedades tumorales con rápido crecimiento en médula ósea. Por ello tienden a bloquear a las células madres fisiológicas pudiendo presentar clínica por descenso de una, dos o las tres líneas celulares. Esto ocurre ya desde el inicio en las leucemias agudas que suelen presentar leucocitosis con descenso marcado de las otras dos líneas celulares (respuesta 3 incorrecta). La LMC, al igual que los otros tres síndromes mieloproliferativos crónicos con origen en la célula madre pluripotencial, puede sufrir un incremento no sólo de progenitores de estirpe linfoide, sinó también de estirpe megacariocítico de forma que las plaquetas casi siempre se encuentran elevadas en la fase crónica inicial de la enfermedad, acompañándose, eso sí, de anemia normocítica normocroma (respuesta 4 correcta).","2. FARRERAS, 16a edic., Pág. 1717 3. HARRISON, 17a edic., Pág 684",HEMATOLOGÍA,Normal,"0,38",,Aplasia medular.,Síndrome mielodisplásico.,Leucemia mieloblástica aguda.,Leucemia mieloide crónica.,Mielofibrosis.,4,,
2010,86,9380,118236,FALSE,Mujer de 25 años gestante de 9 semanas. Acude a Urgencias por presentar tumefacción de la pantorrilla izquierda de dos días de evolución. Eco-doppler venoso de miembros inferiores: ocupación de la vena poplítea femoral superficial femoral profunda del miembro inferior izquierdo por material ecogénico con mala compresibilidad de dichos vasos. ¿Cuál sería el tratamiento más adecuado?:,"El cuadro clínico nos habla de una mujer embarazada en su 9a semana de gestación con una posible trombosis venosa profunda. En estos pacientes hay que anticoagular inmediatamente, pero no podemos olvidar que los dicumarínicos o anticoagulantes orales están contraindicados durante el embarazo (respuestas 1, 3 y 5 incorrectas). A estas pacientes hay que heparinizarlas con HBPM y tras el parto, sustituirlas por dicumarínicos si precisa mantener el tratamiento (respuesta 2 correcta). Los fibrinolíticos se aceptan para el tratamiento del infarto agudo de miocardio, pero está poco aceptada su indicación en la TVP de extremidades inferiores ya que, si bien se pueden obtener buenos resultados flebográficos, no es claro que por ello se prevenga el desarrollo del síndrome postrombótico (además de estar contraindicados de forma relativa durante el embarazo por el riesgo importante de hemorragias secundarias) (respuesta 4 incorrecta).","1. FARRERAS, 16a edic., Pág. 1819 2. HARRISON, 17a edic., Págs 735-745",HEMATOLOGÍA,Fácil,"0,94",,"Heparina de bajo peso molecular solapada con dicumarínicos al menos los 5 primeros días, hasta obtener INR entre 2 y  3. Después, dicumarínicos solos.","Sólo heparina de bajo peso molecular mientras dure el embarazo, pasando a dicumarínicos tras el parto si es preciso prolongar el tratamiento.",Sólo dicumarínicos desde el principio.,Fibrinolisis con activador tisular del plasminógeno (tPA).,Los anticoagulantes están contraindicados en el embarazo. Sólo medias de compresión fuerte.,2,,
2010,87,9381,118237,FALSE,Mujer con historia personal y familiar de sangrado por mucosas. El estudio de coagulación presenta un tiempo de hemorragia y tiempo de tromboplastina parcial activado alargados. Actividad de protrombina del 100%. ¿Qué patología de la coagulación le sugieren estos datos?:,"Nos presentan un cuadro congénito con alteración de la hemostasia primaria (TH aumentado y clínica de sangrado por mucosas) y secundaria (Ttpa aumentado), por lo que la única opción correcta es la Enfermedad de Von Willebrand) (respuesta 1 correcta). Las hemofilias se descartan al ser una mujer la enferma, ya que esta enfermedad solamente se manifiesta en los varones) (respuestas 2 y 4 incorrectas). Los déficits de factores XI y VII provocan una alteración de la cascada de la coagulación, por lo que en ningún caso se alteraría la hemostasia primaria) (respuestas 3 y 5 incorrectas).","1. FARRERAS, 16a edic., Pág. 1803 2. HARRISON, 17a edic., Pág 724",HEMATOLOGÍA,Fácil,"0,81",,Enfermedad de Von Willebrand.,Hemofilia A.,Déficit de factor XI.,Hemofilia B.,Déficit de factor VII.,1,,
